,Bifidobacterium adolescentis,Bifidobacterium bifidum,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Collinsella aerofaciens,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides dorei,Bacteroides eggerthii,Bacteroides faecis,Bacteroides finegoldii,Bacteroides fragilis,Bacteroides intestinalis,Bacteroides massiliensis,Bacteroides ovatus,Bacteroides salyersiae,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bacteroides vulgatus,Bacteroides xylanisolvens,Bacteroidales bacterium ph8,Barnesiella intestinihominis,Coprobacter fastidiosus,Odoribacter splanchnicus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides merdae,Parabacteroides unclassified,Paraprevotella clara,Paraprevotella unclassified,Prevotella copri,Alistipes finegoldii,Alistipes onderdonkii,Alistipes putredinis,Alistipes shahii,Alistipes unclassified,Streptococcus salivarius,Clostridium bolteae,Clostridium citroniae,Clostridium clostridioforme,Clostridium hathewayi,Clostridium leptum,Clostridium nexile,Clostridium symbiosum,Flavonifractor plautii,Eubacterium eligens,Eubacterium hallii,Eubacterium rectale,Eubacterium siraeum,Eubacterium sp 3 1 31,Eubacterium ventriosum,Ruminococcus gnavus,Ruminococcus obeum,Ruminococcus torques,Coprococcus comes,Dorea longicatena,Lachnospiraceae bacterium 1 1 57FAA,Lachnospiraceae bacterium 3 1 46FAA,Roseburia hominis,Roseburia intestinalis,Roseburia inulinivorans,Roseburia unclassified,Oscillibacter unclassified,Peptostreptococcaceae noname unclassified,Faecalibacterium prausnitzii,Ruminococcus bromii,Ruminococcus callidus,Ruminococcus lactaris,Subdoligranulum unclassified,Coprobacillus unclassified,Acidaminococcus unclassified,Dialister invisus,Veillonella atypica,Veillonella dispar,Veillonella parvula,Veillonella unclassified,Burkholderiales bacterium 1 1 47,Parasutterella excrementihominis,Sutterella wadsworthensis,Bilophila unclassified,Escherichia coli,Escherichia unclassified,Klebsiella pneumoniae,Haemophilus parainfluenzae,Akkermansia muciniphila,C2likevirus unclassified
MSM9VZLP,0,0.0018445,0,0,0.0148805,0.0414721,0,0.0444412,0.0545777,0.0001951,0.0010123,0,0,0.0126081,0.0122331,0,0.0060353,0.0083466,0.0401611,0.0288124,0.000976,0.015132,0.0168915,0,0.0038995,0.0474198,0.0257213,0.017984,0,3.15E-05,0.0004191,0,0.0032449,0.0392457,0.0010399,0.0160713,0,0.0027509,0.0001034,0,0,0.0083966,0.0027651,0,0.0001846,0,0.0018026,0.0004043,0.0452686,0.0198374,0,0.0071416,0,0.0020298,0.0091128,0.0031939,0.0072423,0,0,0.0018864,0.0005358,0.0010407,0,0.0014866,0,0.0325949,0.0226714,0,0,0.0384567,0.0004712,0,0,0,0,0,0,0,0,0,0.0046107,0.148872,0,0,0.0001363,0.101192,0
MSM9VZLR,0,0.0110295,0,0,0.0369013,0.0163871,0,0.0150566,0.0169649,0.0001434,7.18E-05,0,0,0.0025634,0.0195579,0,0.002727,0.0235631,0.0209652,0.0206389,0,0.0109869,0.0067438,0,0.0046576,0.0335048,0.011808,0.0074716,0,1.24E-05,0.0001241,0,0.0049249,0.0512813,0.0010163,0.0201143,0,0.0010901,0,0,0,0.0099449,0.0054935,0,0.000728,0,0.0051549,0.0013327,0.0902889,0.0175303,0,0.0020894,0,0.0034479,0.0102569,0.0054832,0.0071919,0,0,0.0021765,0.0010961,0.000103,0,0.0004426,0,0.0349855,0.016631,0,0.0002672,0.0291486,0.001289,0,0,0,0,0,0,0,0,0,0.0162675,0.205622,0,0,0.0032737,0.0794772,0
MSM9VZLT,0,0.0066621,0,0,0.0133191,0.006607,0,0.01519,0.0343796,5.07E-05,0.0002697,0.0001749,0,0.0118442,0.0032699,0,0.0072806,0.0008284,0.0100575,0.0022166,0,0.0009321,0.0010805,0,0.0032754,0.0123522,0.0021748,0.0085462,0,0.0036493,0.0031404,0,0.0003697,0.002449,0.000163,0.0006033,0,0.0005782,0,0,0,0,0.0018816,0,0,0,0.0059739,0.0249879,0.0437778,0.0282545,0,0.000656,0,0.0035602,0.012408,0.0077272,0.0106345,0.0024553,0,0.0009803,0.0102432,0.0192087,0,0.0001936,0.0039785,0.0942638,0.0332999,0.000374,0.0022611,0.0855653,0,0,0,0,0.000527,0.0029421,0.0005619,0,0,0,0.0073515,0.0796769,0,0.0060791,0,0.0284415,0
MSM9VZLV,0.0006688,0.0032905,0,0,0.0141361,0.0103392,0,0.0061194,0.0499326,3.33E-05,0.0003294,0,0,0.0068418,0.0028708,0,0.0085037,0.0013387,0.0151995,0.0117015,0.0006843,0.0019359,0.0027608,0,0.003251,0.011027,0.0022494,0.0088958,0,0.0007711,0.0005067,0.0012856,0.0009041,0.0058674,0.0050163,0.002332,0,0.0002948,6.81E-05,0,0,0.0001198,0.0012082,0,9.57E-05,0,0.0062033,0.0039303,0.0721272,0.0108199,0,0.0030125,0,0.0028513,0.0067799,0.0066975,0.0103534,0,0,0.0077601,0.006779,0.0085629,0,0.0004586,0.0006262,0.100493,0.0145707,0.0005377,8.05E-05,0.0631287,0,0,0,0,0,9.81E-05,0.0003433,0,0,0,0.0169412,0.118632,0,0,0,0.0599146,0
MSM9VZMA,0,0,0,0,0,0,0.17083,0.0001603,0,1.12E-05,0,0.0802825,0,1.77E-05,0,0,0,0.072919,0.0174814,0.183553,0.0256061,0,0,0,0.0114276,0.0052418,0,0,0.0442109,0,0,0,0.0316085,0,0.0465154,0.0041442,0,0,0.0003872,3.52E-05,0.0006252,5.88E-05,0.0014773,0,0,0.002275,0,0,0,0,0,0,0.0014048,0.0009235,0.0013723,0,0,0,0.0007831,0,0.000213,0,0.0026243,0,0,0.146875,0,0,0,0.0212969,0,0,0.0827369,0,0,0,0,0.0042928,0.0051602,0,0.0122668,0.0017039,0.0010014,0,0,0,0
MSM9VZMA_TR,0,0,0,0,0,0,0.184964,5.27E-05,0,0,0,0.0736289,0,0,0,0,0,0.0914999,0.0240964,0.169944,0.0298551,0,0,0,0.0096509,0.0085865,0,0,0.042165,0,0,0,0.0446153,0,0.0644545,0.0066105,0,0,0.0008433,0,0.0001451,0,0.0010978,0,0,0.0019886,0,0,0,0,0,0,0.0010827,0.0003295,0.0008765,0,0,0,0.000685,0,0,0,0.0014709,0,0,0.123965,0,0,0,0.0217535,0,0,0.0553381,0,0,0,0,0.0036647,0.0038962,0,0.0102817,0.0023301,0.0008872,0,0,0,0
MSM9VZMC,0,0,0,0,0.0001517,0,0.087115,0.0001572,0,1.91E-05,0,0.0492178,0,0,0,0,0,0.126454,0.0183338,0.243624,0.0426929,0,0,0,0,0.0051768,0,0,0.0520471,0,0,0,0.0292367,0,0.0703022,0.0114336,0,0,0.0005963,0,0.0015297,0,0,0.0007457,0,0.001502,0,0,0,0,0,0,0.0030023,0.0018862,0.0015572,0,0,0,0.0002753,0,0,0,0.0010284,0.0026192,0.0014504,0.134904,0,0,0,0.0102026,9.87E-05,0,0.0341744,0,0,0.0021856,0.0005367,0.0025325,0.0041833,0,0.0031888,0.0002023,0.0001152,0,0.0462722,0,5.67E-05
MSM9VZME,0,0,0,0,0.000108,0,0.191305,0.000133,0,0,0,0.0212137,0,0,0,0,0,0.116593,0.0279708,0.151223,0.0497393,0,0,0,0.0057036,0.0067507,0,0,0.0430962,0,0,0,0.0734549,0,0.0687556,0.0100373,0,0,0.0011548,6.94E-05,0.0023472,7.96E-05,0.0011102,6.40E-05,0,0.0058978,0,0,0,0,0,0,0.0020732,0.0008888,0.0047411,0,0,0,0.0001778,0,0,0,0.0004357,0.0058538,0,0.052518,0,0,0,0.0537197,0,0,0.0534006,0,0,0,0,0.0046362,0.0047355,0,0.0198739,0.0001001,0.0007056,0,0,0,0
MSM9VZMI,0,0,0,0,5.03E-05,0,0.23942,0.0001506,0,0,0,0.15187,0,0,0,0,0,0.0775714,0.011215,0.262249,0.0290049,0,0,0,0.0052616,0.0042727,0,0,0.0248291,0,0,0,0.0409708,0,0.0770084,0.0176112,0,0,0.0002089,2.94E-05,0.0015217,0.0001828,0,0.0002016,0,0.0006898,0,0,0,0,0,0,0.0001476,5.92E-05,0,0,0,0,0,0,0,0,0.0001744,0.0018425,0,0.0058649,0,0,0,0.0053152,0,0,0.0179672,0,0,7.20E-06,6.67E-05,0.0017386,0.0018334,0,0.0021825,0.0119374,0,0,2.79E-05,0,0
MSM9VZMM,0,0,0.0005431,0,0,0.0077173,0.105207,0.0545479,0,0,0.0507981,0,0,0.0897776,3.96E-05,0,0.110157,1.86E-05,0.229784,0.0670108,0.0055243,0.001652,0.0346675,0,0.0144093,0,0,0.0071537,0,0,0,0,0.0075362,0.0124354,0.0362555,0.0114376,0,0,0,0,0,0,0,0,0,5.45E-05,0.0037208,3.90E-06,0.0013245,0.0106458,0,0,0,5.98E-05,0.0015887,5.20E-06,6.93E-05,0,0,0.0010407,0.0087262,0.0015442,0,0.0008608,0,0.0841029,0.0006899,0,0.0003777,0.0131362,0,0,0,1.61E-05,5.18E-05,0.0004447,0.0004656,0,0,0.0118569,0.0012579,7.09E-05,0,0,0.0018841,0,0
MSM9VZMO,0.0001032,0,0.0001227,0,0,0.0051527,0.0854059,0.0788849,0,0,0.0342483,0,0,0.0742246,0,0,0.0179618,3.00E-05,0.108286,0.0216667,0.0071065,0.0371525,0.0755412,0,0.0200019,0,0,0.0083959,0,0,0,0,0.0127808,0.0452772,0.0972768,0.0196866,0,0.0001942,0,0,0,0,0,0,0,0,0.0028064,0,0.0145985,0.0422064,0,0,0,0.0001582,0.0014032,0,2.87E-05,0,0,0.0212697,0.0090858,0.0001764,0,0.0009056,0.0008713,0.0837065,0.0002669,0.000418,2.59E-05,0.0321593,0,0,0,0.0008068,0.0008692,0.0005399,0.0030484,0,0,0.0152902,0.0003471,0.0003364,0.0004267,0,0.0099232,0,0
MSM9VZMS,9.94E-05,0,0.0002625,0,0,0.0061244,0.0713364,0.0839264,0,0,0.046204,0,0,0.0925901,0,0,0.0271915,7.46E-05,0.107064,0.0250858,0.0035575,0.0247351,0.0509968,0,0.0187663,0,0,0.0172094,0,0,0,0,0.0109501,0.0279867,0.0968872,0.0159956,0,0,0,0,0,0,0,0,0,0,0.0025534,0.0002755,0.0243386,0.0597572,0,0,0,0.0017949,0.0009681,0,0.0003959,0,0,0.0242507,0.0197799,0.0004468,0,0.0016974,0,0.0915271,0.0022387,0.0009456,0.000608,0.0187437,0,0,0,0.0003442,0.0004414,0.0012203,0.0007515,0,7.51E-05,0.0122227,0.0001303,0,0,0,0.0018513,0,0
MSM9VZMU,0.0001206,0,0.0001581,0,5.80E-05,0.0048656,0.0998666,0.0645561,0,0,0.0409275,0,0,0.0650844,1.56E-05,0,0.0378778,0,0.124656,0.0236297,0.0050342,0.0217115,0.0616114,0,0.0166771,0,0,0.0169516,0,0,0,0,0.0090507,0.0231818,0.0864844,0.0141578,0,0,0,0,0,0,3.68E-05,0,0,0,0.0022385,0.0001456,0.0174219,0.0556441,0,0,0,0.0001221,0.0008884,0,0,0.0005516,0,0.0126853,0.0202313,0.000705,0,0.0011717,0,0.112018,0.0026062,0.0007356,0.0004748,0.0214564,0,0,0,1.66E-05,0.0001945,0.0005091,0.0002599,2.47E-05,0.0001786,0.0173983,0.0004678,0.0001086,1.21E-05,0,0.0036507,0,0
MSM9VZMW,0.0012569,0,0.0003438,0,0.0003153,0.0033297,0.0768685,0.0368513,0,0,0.0135074,0,0,0.0717403,0,0,0.0125568,2.69E-05,0.0940726,0.0138323,0.0046885,0.0798308,0.068879,0,0.0197053,0,0,0.0046808,0,0,0,0,0.0262443,0.0557565,0.133181,0.0512599,0,0.000117,0,0,0,0,0,0,0,0,0.0033192,0.0001365,0.0173356,0.0583453,0,0,0,0.0001536,0.0012564,0,0,0.0002727,0,0.017555,0.0083024,0.000177,0,0.000762,0.0036406,0.0534358,0.0005022,0.0010192,1.96E-05,0.0112984,0,0,0,0.0002487,0.0003399,0.0009258,0.0027059,5.00E-06,0.0001013,0.0358018,0.0006067,0.000432,8.04E-05,0,0.0023856,0,0
MSM9VZNH,0.033642,0.0044378,0.0133248,0,0.0088917,0.0078537,8.70E-06,0,0.0397847,0,0.0004185,0,0,0,0.0024411,0,0.0028733,0.0009726,0.0219046,0.0308018,0.0047946,0,0.0004763,0,0,0,0,0.0085854,0,0,0,0,0,0,0.0018411,0.0002218,0,0.0102627,0,0,0,0,0.0008113,0,0,0,0.0094172,0.0053339,0.0063864,0,0,0.0015626,0,0.0035957,0.0048246,0.0037781,0.006948,0.006936,0,0.0015503,0.0091194,0.0183824,0,0,0.0003787,0.17926,0.0003388,0.0011443,0,0.246141,0,0,0,0.0018775,0.0034009,0.0148887,0.0867696,0,0.0018918,0,0.0011731,0.0033582,0.0015613,0,0.127275,0,0.0021351
MSM9VZNH_TR,0.0180915,0.0028875,0.0120216,0,0.0034308,0.0065046,0,0,0.0413773,0,0.0002024,0,0,0,0.0019506,0,0.0032868,0.0013571,0.0277945,0.030791,0.0027848,0,0.0007503,0,0,0,0,0.0093452,0,0,0,0,0,1.35E-05,0.0022632,7.26E-05,0,0.0090562,0,0,0,0,0.0012826,0,0,0,0.0124022,0.0049615,0.0056803,0,0,0.0023529,0,0.0031307,0.0046412,0.0036273,0.0050528,0.0056297,0,0.002698,0.0092976,0.0170278,0,0,0.0040874,0.195643,4.18E-05,0.0007742,0,0.287443,0,0,0,0.0018798,0.0029156,0.0111715,0.0760032,0,0.0015902,0,0.0005485,0.0041632,0,0,0.117947,0,0.0005602
MSM9VZNL,0.0425345,0.0062142,0.0073675,0,0.0092403,0.0213952,0.0016688,8.40E-06,0.0558117,0,0.0007204,0.0001735,1.74E-05,0,0.0024434,6.20E-05,0.0101215,0.002636,0.095632,0.0235088,0.0018123,0.0004554,0.0049029,0,0,0.0005916,0,0.0337098,0,0,0,0,0.000171,0.0006959,0.0088179,0.0015265,0,0.0007021,0.0002813,0,0,0,0.0027222,0,0,0,0.0053416,0.0125177,0.0184029,0.0002343,0,0.0107368,0,0.0050423,0.0130183,0.0053212,0.012667,0.0020887,0.0001244,0.0035528,0.001765,0.012875,0,6.11E-05,0,0.237095,0.0058235,0.0002909,0.0001519,0.241937,0,6.65E-05,0,0,0.0001058,0.0025655,0.0014018,0,0.0011462,0,0.0019486,0.0002558,0.0001747,0,0.0015844,0.0003425,0
MSM9VZNR,0,0,0,0,0,0,0,0.0001221,0,0.0773536,0,0,0,0,0,0,0,0.0237319,0,0.679385,0,0,0,0,0,0,0,0,0.0011034,0,0,0,0,0,0,0,0,1.85E-05,0.0090336,0,0.0002709,0,0,0.000436,0.0160345,0.0109651,0.003851,0,0,0,0,0,0.0030232,0,0.0059886,0,0,0.0004617,0,0,0.028449,0,0,0.0137953,0,0.0626291,0,0,0,0.0007913,0.0008134,0,0.0169358,0,0.000126,0.0010592,0.000958,0,0,0,0,0.0097393,0.0030739,0,0.0018983,0,0
MSM9VZNX,0,0,0,0,0,0,0,0.0001453,0.0001251,0.0338491,0,0.220162,0,2.02E-05,0,0,0,0.010304,0,0.219344,0,0,0,0,0,0,0,0,0.0004278,0,0,0,0,0,0,0,0,4.60E-06,0.0015209,0,0.0005466,0,0,0,0.0282384,0.0064573,0.0013744,0,0,0,0,0,0.0071349,0.0002447,0.0026635,0,0,0.0001098,0,0,0.233828,0,0,0.0382414,0.0004891,0.0172942,0,0,0,0.0074539,0.000332,0,0.0226292,0,5.34E-05,0.0001838,0.0003152,0.0109248,0.0212742,0,0,0.0971142,0,0,0,0,0
MSM9VZNZ,0,0,0,0,0,0,0,1.28E-05,0,0.0201182,0,0.080317,0,0,0,0,0,0.0057649,0,0.272079,0,0,0,0,0,0,0,0,0.0001532,0,0,0,0,0,0,0,0,5.55E-05,0.0013774,0,7.70E-06,0,0,0,0.0058265,0.0056468,7.28E-05,0,0,0,0,0,0.0066273,0.0010145,0.0272286,0,0,0.000695,0,0,0.35314,0,0,0.0812991,0,0.0572776,0,0,0,0.0076754,0,0,0.0314539,0.0001141,0,9.34E-05,0.0005245,0.009704,0.0184961,0,0,0.0001248,8.67E-05,0,0,0,0
MSM9VZO2,0,0,0,0,0,0,0,4.80E-05,0,0.0102452,0,0.106478,0,0,0,0,0,0.003325,0,0.618469,0,0,0,0,0,0,0,0,0.0003058,0,0,0,0,0,0,0,0,0.0009904,0.0025592,0,0.0003594,0.0003398,0,0,0.0024337,0.0051982,0.0012914,0,0,0,0,0,0.0030549,1.14E-05,0.0121627,0,0,0,0,0,0.0755751,0,0,0.0473243,0,0.0389448,0,0,0,0.0044318,5.26E-05,0,0.0403405,6.74E-05,2.84E-05,0.000563,0.0002332,0.0040106,0.0069489,0,0,0.0006001,1.20E-06,0,0,0,0
MSM9VZOG,0,0.000715,0,0,0.000415,0,0,0.106247,0,0.0001386,0,0,0,5.51E-05,6.99E-05,0,0,0.206468,0.0003535,3.54E-05,0,0,1.39E-05,0,0,6.40E-06,0,8.83E-05,0.000253,0,0,0,0,6.18E-05,0.0306554,0.007873,0,0.0003475,0,5.09E-05,0,0,0.0138426,0,0,0.0021544,0.0065779,0,0.0058833,0.0119737,0,0.0048615,0.0016794,3.86E-05,0.0026827,0.0007914,0.0015252,0,0,0.0043408,0.346681,0.001388,0,0.0019754,0.0007839,0.0713534,0,0,0,0.0144017,0,0,0.0009059,0.0011059,0.0023528,0.0024626,0.0376318,0,0,6.30E-06,0.0007151,0,6.44E-05,0,0.0034443,0.0835782,0
MSM9VZOI,0,9.20E-06,0,0.0018138,0,0,0,0.206063,0,0,0,0,0,0,0,0,0,0.231243,0,0,0,0,0,0,0,0,0,0,0.0009628,0,0,0,0,0,0.129807,0.0067095,0,0.0017559,0.0003768,0.0002458,0,0,0.0068147,0,0,0.0037217,0.0014222,0,0.0045159,0,0,0.0080281,0.0046286,5.38E-05,0.0026979,0.0016007,0.0034977,0,0,0.0012158,0.0406792,0.0150155,0,0.0007964,0,0.0316645,0,0,0,0.0037432,0,0,0.0147985,0.0043716,0.0009031,0.0156182,0,0,0,0,0.0012654,0.0010929,0,0.0438976,0.0007909,0.198981,0
MSM9VZOK,0,0.001483,0,0.0007865,1.14E-05,0,0,0.363445,0,0,0,0,0,0,0,0,0,0.0653697,0.0001052,8.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342819,0.0056622,0,4.61E-05,0,0,0,0,0.0002447,0,0,0.0005992,0.0556797,0.0005386,0.0198299,0,0,0.0044567,0.0012761,0.0003621,0.0054586,0.0025477,0.0004587,0,0,0.0667014,0.0775987,0.0092016,0,0.0007274,0.0002635,0.184509,0,0,0,0.0090881,0,0,0.043708,0.0006603,4.40E-05,0.0076285,0,0,0,0,0.0027539,0,0,0,0,0.0262484,0
MSM9VZOM,0,0.0002741,0,0,4.57E-05,0,0,0.268078,0,0,0,0,0,0,0,0,0,0.219715,0,5.05E-05,0,0,0,0,0,0,0,0,0.0014469,0,0,0,0,0,0.189013,0.030573,0,0,0,0,0,0,0,0,0,4.66E-05,0.0132361,0,0.0550571,0,0,0.0016302,0,0.0001953,0.0018037,0.0001894,0.000736,0,0,0.0005397,0.0234191,0.0154808,0,0.0015083,0,0.0669447,0.0022044,0,0,0.0171277,0,0,0.0113012,0,0,0.0006723,2.94E-05,0,0,0,0.0017181,0,0.0001471,0,0.0004821,0.0538402,0
MSM9VZOO,0,0.0016318,0,0.0008655,0,0,0,0.168343,0,0,0,0,0,0,0,0,0,0.332943,0,5.80E-05,0.0487455,0,0,0,0,0,0,0,0.0004494,0,0,0,0,0,0.126217,0.0012576,0,0,0,0,0,2.10E-05,0.0023779,0,0,0.0003663,0.0089683,0,0.0302201,0,0,0.0034185,0.0019485,0.000269,0,0.0015149,0.0008829,0.0004996,0,0.004935,0.0038904,0.0544722,0,0.0002594,0,0.10504,0,0,0,0.0034057,0,0,0.0500974,0.0028163,0.000871,0.0074321,0.0009175,0,0,0,0.0039119,0.0013909,0.0008617,0,0.0209301,0,0
MSM9VZOQ,0,0,0,0,9.43E-05,0,0,0.173468,0,0,0,0,0,0,0,0,0,0.199335,0,0.0001355,0.0216369,0,0,0,0,0,0,0,0.0002935,0,0,0,0,0,0.0598437,0.0078529,0,0,0,0,0,0,0.0179197,0,0,0.0005736,0.0318145,0.0003543,0.014872,0,0,0.0077672,0.0008363,0.0003631,0.0023322,0,0.0006172,0,0,0.0132565,0.164934,0.0044253,0,0.0020942,0,0.144199,0,0,0,0.0116247,0,0,0.0983079,0.0008838,0.000522,0.0044571,0.0004284,0,0,0,0.0058186,0,0,0,0.005362,0,0
MSM9VZOS,0,0,0,0,0,0,0,0,0,0,0,0.454835,0,0,0,0,0,0,0,0.0001287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089417,6.24E-05,0.0152936,0.0022724,0,0.0053203,0.0004475,0.0070653,0,0.0029785,0,0,0.0066694,0,0.0020639,0.0008829,0.0027298,0,0,0.0001896,0,0,0.220718,0,0,0,0,0.165568,0,0,0,0.0568382,0.0022239,0,0,0.0008238,0.0008503,0.0001413,0.0032905,0,0,0,0,0.0036042,0,0,0.0022028,0,2.65E-05
MSM9VZOU,0,0,0,0,0,0,0,0.0001998,0,0,0,0.399854,0,0,0,0,0,0,0.0001101,6.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045602,0,0,0.0008709,0,0.004497,0.0003926,0.0020586,0,0.0026862,0,0,0.0016834,0,0.0063007,1.94E-05,0.0016721,0,0,0,0.0034734,0,0.120675,0,0,0,0,0.298736,0,0,0,0.0854093,0.0136058,0,0.0063759,0.0009085,0.004088,0.0004623,0.0157776,0,0,0,0,0.0017233,0,0,0.0009024,0,0
MSM9VZOW,0,0,0,0,0,0,0,0,0,0,0,0.57769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001287,0,0,0,0,0,0,0,0,4.75E-05,0.0099032,9.81E-05,0.0184193,0.0003167,0,0.00141,0.0003537,0.0021078,0,0.0089683,0,0,0.0021753,0,0.0014585,0.000238,0.0013743,0,0,0,0,0,0.0433045,0,0,0,0.0004151,0.186993,0,0,0,0.0740577,0.0020773,0,0,0.0009272,0.0007188,4.54E-05,0.0014882,0,0,0,0,0.0030357,0,0,0.0016036,0,2.86E-05
MSM9VZOY,0,0,0,0,0,0,0,4.27E-05,0,0,0,0.243205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001651,0,0,0,0,0,0,0,0,0,0.0009558,0,0,9.39E-05,0,0,0.0001435,0.0019516,0.0134299,0.0105324,0.0425442,0,0.0014815,0,0.0007755,0.0004591,0.0026834,0,0,0.0001991,0.0026023,0.0001019,0.0861755,0,0,0,0.0011897,0.307033,0,0,0,0.244067,0.001926,0,0.0053995,7.95E-05,7.29E-05,4.19E-05,0.0002241,0,0,0,0,0.0023777,0.000395,0,0.0004868,0,0
MSM9VZP1,0,0,0,0,0,0,6.00E-06,6.70E-05,0,0,0,0.42407,0,0,0,0,0,0,0.0001046,0.0001934,0,0,0,0,0,0,0,0,0.0001815,0,0,0,0,0,1.09E-05,0,0,0,0.0036646,0,0.0062617,0.0007093,0,0.0057009,1.58E-05,0.0022361,0,0.0040923,5.29E-05,0,0.0027171,0,0.0006767,8.03E-05,0.0019525,0,0,0.0001557,0.0057415,0,0.330627,0,0,0,0,0.171701,0,0,0,0.028637,0.0022862,0,0.0002101,0.0006643,0.0005123,1.63E-05,0.0012098,0,0,0,0,0.0016874,1.91E-05,0,0.0003355,0,4.06E-05
MSM9VZP3,0,0,0,0,0,0,0,0,0,0,0,0.558003,0,0,0,0,0,0,0,0.0001327,0,0,0,0,0,0,0,0,0.0001497,0,0,0,0,0,0,0,0,4.40E-06,0.0034735,0,0.0052871,0.0004605,0,0.0045208,3.59E-05,0.004827,0,0.0062258,0,0,0.0014944,0,0.0019288,0.0006593,0.0026362,0,0,0.0002264,0.0177897,0,0.224412,0,0,0,0,0.111292,0,0,0,0.0100036,0.005106,0,0,0.0009716,0.0006565,0.0005244,0.0013704,0,0,0,0,0.0038269,0,0,0.0070575,0,8.86E-05
MSM9VZPH,0,0,0,0,0,0,0.0238038,0.0109097,0,0,4.56E-05,0.0577508,0.00167,8.23E-05,0.0119809,0,0,0,0.342763,0.0023198,0.000552,0,0,0,0.0096474,0,0,0,0.0005686,0,0,0,0,0,0.0594769,0,0,0,0.0001699,0.0001037,0,0,0.0003527,0,0.0001205,0.0003877,0.0033182,0.0024632,0.0651761,0.0001738,0,1.00E-05,0.0051432,0.0015669,0.0127986,0.0019408,0.0027202,0,0.014832,0.0007859,0.0030558,0.0035302,0,0.0043084,0,0.109169,0,0,0,0.0601625,0,0,0.105635,0,0,0,3.47E-05,0.0058415,0.0130285,0,0,0,0,0,0,0,0
MSM9VZPL,0,0,0,0,0,0,0.0341253,0.0098049,0,0,0,0.0431433,0.0014278,2.30E-05,0.0222257,0,0,0,0.122775,0.0029292,0,0,0,0,0.005336,0,0,0,5.32E-05,0,0,0,0,0,0.0553427,0,0,0.0001959,6.84E-05,4.41E-05,0,0,0.0001145,0,0,0.0001393,0.0059422,0.0005789,0.0600632,0.0031343,0,1.26E-05,0.0022618,0.0019561,0.0084425,0.0006645,0.0034306,0,0.0083142,0.0001735,0.0063909,0.0017648,0,0,0,0.466414,0,0,0,0.0984783,1.39E-05,0,0.0164936,0,0,0,3.27E-05,0.0007638,0.0016383,0,0,3.89E-05,0.0001524,0,0,0,0
MSM9VZPN,0,0,0,0,0,0,0.0140773,0.0131747,0,0,0,0.0809472,0.0004544,0,0.0183732,0,0,0,0.192445,0.002837,0,0,0,0,0.0077835,0,0,0,0.0002678,0,0,0,0,0,0.0832401,0,0,0,0,0,0,0,0.0001563,0,0,0.0002952,0.0054415,0.0008879,0.0847284,0.0005578,0,0,0.001965,0.0008188,0.0035036,0.0019059,0.0030753,0,0.0069177,3.25E-05,0.0074854,0.0100268,0,0,0,0.340597,0,0,0,0.0702138,0,0,0.0082972,0,0,0,0,0.0019001,0.0037641,0,0.0003204,0,0,0,0,0,0
MSM9VZPT,0,0,0.0357287,0,0,0.0318617,0.005139,0.0041447,0,0.0203708,0,0.004271,0,0,0.0362637,0,0,0.0010947,0.0036855,0.0121427,7.79E-05,0.0165347,0.0735742,0,0,0.0310913,0,0,0,0,0,0,0.0006988,0.0069422,0.0606094,0.0244853,0.128463,0,0,0,0,0,0.009198,0,0,0.0002118,0.0022101,0,0.0372309,0.030388,0.0136131,0,0.0031584,0.0003355,0.0430772,0,0,0.0024125,0.0004891,0.0015382,0,0,0,0.0107116,0,0.0238364,0.117239,0,0,0.144592,0,0,0,0,0,0,0,0.000984,0.0003021,0,0.0019061,0.0030479,0.0010959,0,0,0.0027946,0
MSMA267V,0.0064516,0,0.0041729,0.0004568,0.003661,0.0105178,0.0006825,0.0064424,0,0,0.024037,0,0,0.0393531,0.0106055,0,0.0279083,0.0038575,0.0117286,0.0167394,0.0010756,0,0.0128786,0,0.0070848,0.0003994,0.0007094,0.0069392,0.0055816,0.0133289,0.0128919,0,0.0086162,0.0096506,0.0264397,0.013905,0,5.94E-05,0,0,0,0,0.0012479,0,0,6.79E-05,0.0024224,0.002936,0.006637,0.297622,0,0.0014978,0,0.0048178,0.009563,0.0026738,0.0449529,0,0.0040248,0.0020707,0.0209336,0.0042327,0.0034301,0.0055207,0,0.165308,0.0086194,0.0032908,0.001158,0.0599035,0,0,0,0,0,0,3.76E-05,0.0005499,0.0010536,0,0,0,0,0,0.0003325,0.0015752,0
